,Toimiala,"Suora kysyntä, M€","Tuotos Type I, M€","Tuotos Type II, M€","Arvonlisäys Type II, M€","Työllisyys Type II, htv","Osuus työllisyysvaik., %"
F,F Rakentaminen (41-43),1526.0497553813925,1720.6884895581702,1741.8976409166914,629.7302037680313,8149.648304242801,29.709698340714223
M71,71 Arkkitehti- ja insinööripalvelut; tekninen testaus ja analysointi,171.66964916094486,352.8425322486163,358.088830289947,205.5825725164682,2712.5804788932574,9.888763875966614
C27,27 Sähkölaitteiden valmistus,220.71812034978623,274.06815400368265,277.64833019401806,89.42196025744434,714.5096098052454,2.604758411206996
C25,25 Metallituotteiden valmistus (pl. koneet ja laitteet),120.86944685821629,252.53507123055073,257.7241318390428,90.46827678621361,1189.7416805953953,4.337225989919292
G46,46 Tukkukauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa),49.6323815601371,177.8245168096018,214.92148393824942,112.80819897710994,1065.8371029583327,3.885529488769141
J62_J63,"62, 63 Tietojenkäsittelypalvelu",123.7889987146949,171.10703941131067,180.90569369819528,92.37906803647398,977.3157646865251,3.562823261630168
C28,28 Muiden koneiden ja laitteiden valmistus,110.35906017489312,169.9733128004845,178.51564314316647,62.2758338972323,470.5846163050848,1.7155251947407575
L68202,68202 Asuntojen ja asuinkiinteistöjen hallinta,0.0,0.605818064987288,153.74144550865233,128.6730302677508,0.0,0.0
L68XL68202,68 pl. 68202 Kiinteistöalan toiminta pl. asuntojen ja asuinkiinteistöjen hallinta,28.027697822195083,66.35226709384513,136.58548520694242,87.36668411145496,235.16385449391726,0.8572943171077168
M69_M70,"69, 70 Liikkeenjohdon palvelut",49.04847118884139,117.33058718563052,132.58964788397947,67.8553578389008,868.0469801567803,3.164481823418026
C33,"33 Koneiden ja laitteiden korjaus, huolto ja asennus",99.2647631202742,124.15874178245453,127.92202926914536,55.29709392599226,708.3135175786803,2.5821704388098734
H52,52 Varastointi ja liikennettä palveleva toiminta,49.6323815601371,115.17269924231371,126.59913248594438,43.13147082557696,497.43961126362285,1.813425591098254
H49,49 Maaliikenne ja putkijohtokuljetus,24.81619078006855,87.50181424093972,113.84143764591113,47.652171157064565,771.6799866624184,2.8131741105160435
C16,16 Sahatavaran sekä puu- ja korkkituotteiden valmistus (pl. huonekalut); olki- ja punontatuotteiden valmistus,0.0,101.40883759788348,107.03716119087994,22.004155088020617,293.88600354847875,1.0713670315610768
G47,47 Vähittäiskauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa),0.0,18.294023952706702,100.22469137536595,52.4266392696909,987.5195909590635,3.6000215049359983
