,0
"Ilmoitettu investointi, M€",12999.999999999998
"  josta kotimainen loppukysyntä (perushint.), M€",2592.5620485530444
"  josta suora tuonti, M€",10112.96
"  josta tuoteverot, M€",177.99795144695437
"  josta maa ja luvat (ei tuotantoa), M€",116.47999999999998
"Kotimaisuusaste, %",19.942784988869576
"Tuotos, Type I, M€",4586.271069556537
"Tuotos, Type II, M€",5601.119923407938
"Arvonlisäys, Type I, M€",1845.316112717738
"Arvonlisäys, Type II, M€",2376.103054456413
"Arvonlisäys, Type II, M€/vuosi",1188.0515272282064
"BKT-vaikutus, % BKT:sta vuodessa",0.42178246030098854
"Työllisyys, Type I, htv (koko ohjelma)",22363.46923277792
"Työllisyys, Type II, htv (koko ohjelma)",27430.935887607142
"Työllisyys, Type II, henkeä keskimäärin/vuosi",13715.467943803571
"Tuonti yhteensä (suora + välituote), M€",10917.631793376782
Kerroin: arvonlisäys / ilmoitettu investointi (Type II),0.1827771580351087
Kerroin: arvonlisäys / kotimainen kysyntä (Type I),0.7117731719276081
Kerroin: tuotos / kotimainen kysyntä (Type I),1.769011110887864
"Työllisyys per mrd € investointia, htv (Type II)",2110.071991354396
"Työllisyys per mrd € kotimaista kysyntää, htv (Type II)",10580.628495629195
