timeperiod_q,rel_wage_growth,rel_agreed_growth,hours_growth,year,u_rate,tightness,interaction
2016Q1,0.0,-0.19999999999999996,8.669053379622227,2016,8.9,-0.9600000000000009,-8.322291244437345
2016Q2,0.3999999999999999,0.0,14.325812073616717,2016,8.9,-0.9600000000000009,-13.752779590672061
2016Q3,0.5999999999999999,0.09999999999999998,6.0070927255146955,2016,8.9,-0.9600000000000009,-5.766809016494113
2016Q4,0.7000000000000001,0.0,4.361388489947515,2016,8.9,-0.9600000000000009,-4.186932950349618
2017Q1,1.3,0.6000000000000001,11.72343998293286,2017,8.7,-0.7599999999999998,-8.909814387028971
2017Q2,0.8,0.4,-2.6501287733053047,2017,8.7,-0.7599999999999998,2.014097867712031
2017Q3,0.6000000000000001,0.4,4.4641565632772995,2017,8.7,-0.7599999999999998,-3.3927589880907467
2017Q4,0.49999999999999994,0.4,5.62163949625738,2017,8.7,-0.7599999999999998,-4.272446017155608
2018Q1,-0.8,-0.5,3.349652046068563,2018,7.5,0.4399999999999995,1.473846900270166
2018Q2,-0.6000000000000001,-0.4,5.069485908002491,2018,7.5,0.4399999999999995,2.2305737995210935
2018Q3,0.2999999999999998,0.19999999999999996,7.8398156928436435,2018,7.5,0.4399999999999995,3.449518904851199
2018Q4,0.3999999999999999,0.19999999999999996,5.030115775260491,2018,7.5,0.4399999999999995,2.2132509411146133
2019Q1,0.2999999999999998,-0.19999999999999996,-1.3184122029382905,2019,6.8,1.1399999999999997,-1.5029899113496508
2019Q2,-0.10000000000000009,-0.3999999999999999,-1.70135909284852,2019,6.8,1.1399999999999997,-1.9395493658473124
2019Q3,-0.40000000000000013,-0.7,-6.660790901160318,2019,6.8,1.1399999999999997,-7.593301627322761
2019Q4,-0.40000000000000013,-0.5999999999999999,-8.904110828804868,2019,6.8,1.1399999999999997,-10.150686344837546
2020Q1,0.8999999999999999,0.30000000000000004,-3.068621137221328,2020,7.7,0.23999999999999932,-0.7364690729331166
2020Q2,0.9000000000000001,0.0,-2.1628464559215743,2020,7.7,0.23999999999999932,-0.5190831494211764
2020Q3,0.7999999999999998,-0.19999999999999996,5.344837339961295,2020,7.7,0.23999999999999932,1.2827609615907072
2020Q4,1.5999999999999996,0.3999999999999999,1.970478937820097,2020,7.7,0.23999999999999932,0.47291494507682197
2021Q1,0.2999999999999998,0.10000000000000009,-3.643606690093293,2021,7.7,0.23999999999999932,-0.8744656056223878
2021Q2,-0.20000000000000018,-0.19999999999999996,0.5177727041740354,2021,7.7,0.23999999999999932,0.12426544900176816
2021Q3,-0.3999999999999999,-0.19999999999999996,-10.718170247184311,2021,7.7,0.23999999999999932,-2.5723608593242275
2021Q4,-0.5999999999999999,-0.19999999999999996,-5.255467267748948,2021,7.7,0.23999999999999932,-1.261312144259744
2022Q1,0.0,-0.10000000000000009,-2.58298804925321,2022,6.8,1.1399999999999997,-2.9446063761486583
2022Q2,0.3999999999999999,0.10000000000000009,-5.448827549098567,2022,6.8,1.1399999999999997,-6.211663405972365
2022Q3,0.6999999999999997,0.5,-2.5554098923812774,2022,6.8,1.1399999999999997,-2.9131672773146553
2022Q4,0.3999999999999999,-0.10000000000000009,-2.4478394154176186,2022,6.8,1.1399999999999997,-2.7905369335760843
2023Q1,-1.4000000000000001,-0.6999999999999997,-2.1969421511171205,2023,7.2,0.7399999999999993,-1.6257371918266676
2023Q2,-1.6999999999999997,-0.8000000000000003,-1.6641236962335881,2023,7.2,0.7399999999999993,-1.231451535212854
2023Q3,-1.4000000000000004,-0.09999999999999964,-5.296386866939606,2023,7.2,0.7399999999999993,-3.919326281535305
2023Q4,-1.9,-0.6000000000000005,-9.830764700419614,2023,7.2,0.7399999999999993,-7.274765878310508
2024Q1,0.39999999999999947,0.40000000000000036,-16.36402950508451,2024,8.4,-0.46000000000000085,7.527453572338889
2024Q2,0.8000000000000003,0.5,-8.208383078740944,2024,8.4,-0.46000000000000085,3.7758562162208413
2024Q3,-0.2999999999999998,-0.5999999999999999,-4.223645757203087,2024,8.4,-0.46000000000000085,1.9428770483134237
2024Q4,0.20000000000000018,-0.2999999999999998,0.30855280989321443,2024,8.4,-0.46000000000000085,-0.1419342925508789
2025Q1,-0.5,-0.7,3.1107589490810383,2025,9.7,-1.7599999999999998,-5.474935750382627
2025Q2,-1.0999999999999999,-1.0999999999999999,11.085618362385752,2025,9.7,-1.7599999999999998,-19.51068831779892
2025Q3,-0.8999999999999999,-0.9999999999999998,5.610371051492535,2025,9.7,-1.7599999999999998,-9.87425305062686
2025Q4,-0.2999999999999998,-0.5,-0.11172358327584675,2025,9.7,-1.7599999999999998,0.19663350656549025
