,0
"Nettopääomakanta 2024, M€",1000181.0
"  josta muu kuin asuinrakennukset, M€",537877.0
"Investointi, M€",13000.0
"ΔK/K, koko kanta, %",1.2997647425815928
"ΔK/K, ei-asuinkanta, %",2.416909442121526
Palkkojen osuus arvonlisäyksestä,0.553548203629125
Pääoman jousto α (yksinkertainen),0.44645179637087495
Pääoman jousto α (sekatulo jaettu),0.3292191479285125
"Potentiaalisen tuotannon nousu, % (α yksink.)",0.58028230418508
"Potentiaalisen tuotannon nousu, % (α korj.)",0.42790744106023426
"  vastaa BKT:ssa, M€",1205.3040055320043
