,0
"IT-teho, MW",294.6666666666667
"Sähkönkulutus, TWh/vuosi",2.6716248000000005
"Henkilöstö, henkeä",1235.0
"Mediaanipalkka, €/kk",3615.0
"Palkkakustannus, M€/vuosi",79.71855839999999
"Sähkön osto (energia + siirto), M€/vuosi",168.31236240000004
"Sähkövero, M€/vuosi",62.11527660000001
"Kunnossapito ja muut ostot, M€/vuosi",124.79999999999997
"Kiinteistövero, M€/vuosi",19.011199999999995
"Kiinteän pääoman kuluminen (poistot), M€/vuosi",1845.0426742767158
"Kustannukset yhteensä, M€/vuosi",2299.000071676716
Kustannuslisä (markup),0.05
"Toimintaylijäämä, netto, M€/vuosi",114.9500035838358
"Tuotos (palvelumaksu konsernille), M€/vuosi",2413.950075260552
"Arvonlisäys Suomessa, M€/vuosi",2120.8377128605516
"  josta poistoja, %",86.99593859014098
"Yhteisövero, M€/vuosi",22.99000071676716
"Ensitulon vienti ulkomaille, M€/vuosi",91.96000286706864
"IT-laitteiden korvausinvestointi, M€/vuosi",1607.2727272727273
