Skenaario,"Poistot, M€/v","IT-teho, MW","Sähkö, TWh/v","BKT, M€/v","BKTL, M€/v","NNI, M€/v","NNI / BKT, %"
Perusskenaario,1845.0426742767158,294.6666666666667,2.6716248000000005,2389.1263948971,2297.166392030031,385.9566042516418,16.154716848635587
IT-pitoaika 4.0 v,2447.769947003988,294.6666666666667,2.6716248000000005,3021.9900312607356,2905.920937484576,391.9838769789145,12.971051291502237
IT-pitoaika 5.5 v,1845.0426742767158,294.6666666666667,2.6716248000000005,2389.1263948971,2297.166392030031,385.9566042516418,16.154716848635587
IT-pitoaika 7.0 v,1500.6270898611315,294.6666666666667,2.6716248000000005,2027.490031260736,1949.3066517702907,382.51244840748575,18.866304766471846
Kustannuslisä 3%,1845.0426742767158,294.6666666666667,2.6716248000000005,2343.1463934635653,2287.9703917433244,376.76060396493506,16.07926013568531
Kustannuslisä 5%,1845.0426742767158,294.6666666666667,2.6716248000000005,2389.1263948971,2297.166392030031,385.9566042516418,16.154716848635587
Kustannuslisä 10%,1845.0426742767158,294.6666666666667,2.6716248000000005,2504.0763984809355,2320.1563927467982,408.9466049684089,16.331235149873656
IT-capex 25 M€/MW,1845.0426742767158,353.6,3.2059497599999998,2432.812905628631,2339.0094816495625,418.91362993197436,17.219311397221006
IT-capex 30 M€/MW,1845.0426742767158,294.6666666666667,2.6716248000000005,2389.1263948971,2297.166392030031,385.9566042516418,16.154716848635587
IT-capex 40 M€/MW,1845.0426742767158,221.0,2.0037186,2334.5182564826855,2244.862530005617,344.76032215122615,14.76794285904027
Henkilöstö 60/mrd €,1845.0426742767158,294.6666666666667,2.6716248000000005,2358.2878999370996,2267.502696878031,356.29290909964186,15.108117592815743
Henkilöstö 95/mrd €,1845.0426742767158,294.6666666666667,2.6716248000000005,2389.1263948971,2297.166392030031,385.9566042516418,16.154716848635587
Henkilöstö 130/mrd €,1845.0426742767158,294.6666666666667,2.6716248000000005,2419.9648898571,2326.830087182031,415.62029940364175,17.174641712598746
IT-osuus 55%,1634.363987974359,238.33333333333337,2.1608730000000005,2186.968019299641,2102.860325594667,401.99268334166436,18.38127854610326
IT-osuus 68%,1845.0426742767158,294.6666666666667,2.6716248000000005,2389.1263948971,2297.166392030031,385.9566042516418,16.154716848635587
IT-osuus 78%,2007.1032022016057,338.0,3.0645108000000003,2544.632837664376,2446.632596980312,373.62115879777906,14.682713877916944
