,0
Työnantajan sosiaaliturvamaksut / työvoimakustannus,0.16089066343659109
Kotitalouksien tulovero / palkat,0.3293562040543551
Kotitalouksien sosiaaliturvamaksut / palkat,0.10837157496101582
Työn kokonaisveroaste (kiila),0.5281921296815534
ALV / kotitalouksien kulutusmenot,0.18911493043376593
Yhteisöverokanta (lakisääteinen),0.2
"Kokonaisveroaste, % BKT:sta",42.15012800967586
"Paikallishallinnon osuus veroista, %",12.023402463959862
"Valtionhallinnon osuus veroista, %",60.05859207202873
"Kiinteistövero koko maassa, M€",2258.0
"Yhteisövero koko maassa, M€",7081.0
"Energiaverot koko maassa, M€",4024.0
